municipio,def_mean,ppt_std,ws_std,dtr_mean
Xaxim,0.3755393659579925,0.8348617032856521,0.09585623801742925,0.7470552021342085
Nova Trento,0.09504734836731907,0.23475423437086324,0.4231673496691113,0.332587728298789
Campo Alegre,0.06075504262448607,0.3767659954745878,0.12272644974327136,0.5274870602184372
Xanxerê,0.11658992466458987,0.852545617488417,0.20004626350299268,0.8683152062384566
Navegantes,0.1120584921610079,0.35711364434719345,0.6249925045897823,0.39605992201928975
Caibi,0.8024441603680307,0.8871103318713375,0.06186896758095631,0.8171557562076748
Camboriú,0.12064628763150599,0.33080124983419046,0.5958452497748775,0.3995298770591199
Calmon,0.10236916183076805,0.0853551979259216,0.2188709091954391,0.7745184837735627
Orleans,0.07023410102915645,0.11163725623301306,0.6330799110614026,0.49624461317463536
Zortéa,0.4833618788758847,0.42277182411796904,0.3523046452841857,0.6317258362405086
Campo Erê,0.08407324207033785,0.6153735131955441,0.4308195640018047,0.9437307613379845
Otacílio Costa,0.06743849952493047,0.08248030158705968,0.3366670500583955,0.5400369382310692
Novo Horizonte,0.09940519777096546,0.5219909597622543,0.40321562788492443,0.9650625897804227
Nova Veneza,0.2194242074474906,0.043667698603624926,0.5888848097894622,0.5601477529242764
Campo Belo do Sul,0.3184396620318082,0.3601788579625109,0.38304242289224816,0.5404154410926417
Vargeão,0.07259117680722932,0.6061550418822002,0.38265884594998306,0.8629181202544635
Modelo,0.3596428083849428,0.7353710419030732,0.25773628328313686,0.8290580751077364
Vidal Ramos,0.07198211329868337,0.16884409625835056,0.4247302454852549,0.42663656884875845
Mondaí,0.9850444455476537,0.9954916349652335,0.016318186631688533,0.8431151241534989
Botuverá,0.10520652768986576,0.24859526024706027,0.3657969624340305,0.3767699569053968
Vargem Bonita,0.0782073834755058,0.371419540265231,0.43459745319233856,0.7585082138961193
Braço do Norte,0.16310355111814656,0.10537948120327968,0.6934685580842193,0.3686360838012796
Vargem,0.20022580911281765,0.3755230470922319,0.4163831990932488,0.6153716155044003
Urussanga,0.19092786606407797,0.1315848635849536,0.6519265640214325,0.587083345548357
Meleiro,0.40354106076339324,0.009401558338647127,0.5772238511146772,0.5147752924276624
Urupema,0.035887487123478085,0.16086314356388082,0.661249371964719,0.4383080238046378
Bom Retiro,0.025940117650021775,0.13660383141724167,0.5716022793915441,0.4425675310788771
Bom Jesus do Oeste,0.2295468429595246,0.6995603517182538,0.30123278365916384,0.8668171557562077
Mirim Doce,0.06107025970347036,0.12707951372003282,0.20729868053002432,0.6082279369673929
Vitor Meireles,0.10919268807342845,0.043384446509553795,0.16282735687176178,0.6362232278829644
Caçador,0.1084662355876038,0.12827066353679076,0.29798068122899446,0.7543361379027292
Morro Grande,0.1229563785103482,0.0557121548664128,0.568918362860879,0.485415261938964
Witmarsum,0.12363069882338124,0.06919568673313856,0.13374180611040362,0.6089335795882072
Morro da Fumaça,0.5123593925177581,0.16146729836929616,0.7869357290638309,0.5265750051303099
Monte Carlo,0.12283891626227146,0.2671334119842833,0.433419021382105,0.6632464600861891
Brunópolis,0.12216894640287092,0.35197433060287536,0.419385809236763,0.6287707777549767
Braço do Trombudo,0.07514924354312238,0.09931709840767822,0.25706402567295084,0.548122306587318
Videira,0.12710877201692003,0.2184392495897673,0.37334754974130346,0.7138583170423493
Monte Castelo,0.07436616188927757,0.10864987501271475,0.26157026839951647,0.7513265515522852
Brusque,0.12698435476731246,0.297697179881281,0.3813204321895432,0.36389287912989937
Trombudo Central,0.08549570989454698,0.1141805024797368,0.25231648244009974,0.5350400164169913
Maracajá,0.5639227091512595,0.03177260585123064,0.6724811651111616,0.5212394828647647
Benedito Novo,0.08094816926396264,0.14586166714129853,0.1694025268445453,0.5167248101785346
Biguaçu,0.08404157076789348,0.24079935874845093,0.616639835938433,0.1870852999521171
Major Vieira,0.13175701155855798,0.09382142397569639,0.2273821640074388,0.8063584271259215
Barra Velha,0.10057003173105962,0.4164123726134534,0.5514764214324214,0.32387646213831295
Barra Bonita,0.33840171852440226,0.8505166956068542,0.2643298756717156,0.9221218961625279
Bandeirante,0.5170422208077502,0.924022564387218,0.13551682502137222,0.9253320043387763
Balneário Gaivota,0.49729877461018784,0.0530255772591891,0.733172766666966,0.25784937410219555
Balneário Barra do Sul,0.07438182352235448,0.5122061901696766,0.5375907224932815,0.2167863738969832
Treze Tílias,0.10612012295268473,0.28072757350467314,0.45079316683200615,0.7334290991175866
Belmonte,0.5985022898489568,0.9461470706898625,0.07867487963336883,0.9018058690744921
Bela Vista do Toldo,0.1696780002884512,0.08583035161362952,0.1923723114965404,0.8239065363685896
União do Oeste,0.3974656522656473,0.6814856166188663,0.17235520549492628,0.8208495793145905
Bombinhas,0.10511516816358389,0.34120119532176796,0.9053926556799308,0.313154114508516
Urubici,0.0,0.1953678966312388,0.6534555938963419,0.40168196725119937
Bom Jesus,0.07277389585979312,0.7703885755332163,0.32097431556110745,0.9214036527806281
Tunápolis,0.8258113169187599,0.9761873227275835,0.041977438679086126,0.8792471636715423
Matos Costa,0.09199261802491172,0.05572105220070866,0.2161702236081476,0.7896199839561221
Marema,0.3634799084887824,0.6723974884731079,0.2134555333279543,0.8226085426988359
Bom Jardim da Serra,0.016656306841139227,0.1544498607891435,0.6459307528373995,0.37317873999589596
Tubarão,0.4675975239114548,0.3228129149728413,0.7986025093587223,0.3034246327301696
Maravilha,0.3378383347789972,0.7852085683984409,0.23043403969913762,0.8535467542239551
Turvo,0.26394370460465805,0.015410335679216656,0.5446444258667942,0.4382310691565771
